epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
1,0.4339041045506795,0.8263809523809523,0.4035603141784668,0.841125,0.001
2,0.39005248825890676,0.842,0.3414912338256836,0.864125,0.001
3,0.36911733683518,0.8488333333333333,0.3381014699935913,0.86475,0.001
4,0.36650841131096795,0.8491428571428571,0.3399971590042114,0.8635,0.001
5,0.3582288540885562,0.853,0.3446543991565704,0.861875,0.001
6,0.3537870288462866,0.8565952380952381,0.3460552592277527,0.857625,0.0005
7,0.3464930766877674,0.8602619047619048,0.3368619425296783,0.86475,0.0005
8,0.33889093059585207,0.8617857142857143,0.32702748489379885,0.86775,0.0005
9,0.3366477924528576,0.8624761904761905,0.3154685850143433,0.872125,0.0005
10,0.33263520992369877,0.8656904761904762,0.3198905098438263,0.870875,0.0005
11,0.3327189406213306,0.8653809523809524,0.33126399302482606,0.86725,0.0005
12,0.3251057879924774,0.8664285714285714,0.3289822769165039,0.868375,0.00025
13,0.3289974579243433,0.8665952380952381,0.3079160130023956,0.873,0.00025
14,0.31982771967706225,0.8708809523809524,0.31234869647026064,0.870375,0.00025
15,0.3172167549814497,0.8716428571428572,0.30568829870224,0.873625,0.00025
