,precision,recall,f1-score,support
living,0.8171882762046696,0.8225,0.8198355345128333,2000.0
nature,0.931342450460508,0.83425,0.8801265989713833,4000.0
transport,0.8421294171638366,0.9175,0.8782005264417325,2000.0
urban,0.8624719101123596,0.9595,0.9084023668639053,2000.0
accuracy,0.8736,0.8736,0.8736,0.8736
macro avg,0.8632830134853434,0.8834375000000001,0.8716412566974636,10000.0
weighted avg,0.8768949008803761,0.8736,0.8733383251522476,10000.0
