,precision,recall,f1-score,support
living,0.8765368852459017,0.8555,0.8658906882591093,2000.0
nature,0.9388830347734457,0.891,0.9143150333504361,4000.0
transport,0.8968824940047961,0.935,0.9155446756425949,2000.0
urban,0.9035532994923858,0.979,0.9397648188144948,2000.0
accuracy,0.9103,0.9103,0.9103,0.9103
macro avg,0.9039639283791323,0.9151250000000001,0.9088788040166588,10000.0
weighted avg,0.910947749657995,0.9103,0.9099660498834142,10000.0
