epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
1,0.2981897863149643,0.8772380952380953,0.2801669366359711,0.893125,2e-05
2,0.2711762444064731,0.8881666666666667,0.2719315559864044,0.89425,2e-05
3,0.258387228784107,0.8958809523809523,0.2562163598537445,0.895875,2e-05
4,0.24141063301903862,0.900452380952381,0.24740923166275025,0.90225,2e-05
5,0.23697734946296328,0.9025238095238095,0.2313518970012665,0.904875,2e-05
6,0.22275511022124972,0.909547619047619,0.2383962438106537,0.906625,2e-05
7,0.2216941321463812,0.9088809523809523,0.22272849822044372,0.912,2e-05
8,0.21507140298116775,0.9122142857142858,0.23764206886291503,0.908,2e-05
9,0.20955126553206216,0.9147142857142857,0.22346937429904937,0.912375,2e-05
10,0.19762187742051623,0.9195714285714286,0.21866413295269013,0.913875,2e-05
