threshold,precision,recall,f1
0.1,0.818157,0.982333,0.89276
0.15,0.839943,0.974333,0.90216
0.2,0.862018,0.968333,0.912088
0.25,0.875569,0.961667,0.9166
0.3,0.884438,0.956667,0.919135
