epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
1,0.797037400949569,0.6476428571428572,0.6300564885139466,0.726875,0.0005
2,0.6034189113435291,0.7408571428571429,0.5487879433631897,0.750625,0.0005
3,0.5376239657629104,0.7726666666666666,0.4834260759353638,0.781125,0.0005
4,0.45993133083411625,0.8062142857142857,0.4173904910087585,0.809625,0.0005
5,0.41517925039927167,0.8276904761904762,0.399500794172287,0.8225,0.0005
6,0.37856608708699546,0.8424047619047619,0.4184093084335327,0.836125,0.0005
7,0.3502218026887803,0.8552380952380952,0.3727401032447815,0.854,0.0005
8,0.32561244923727856,0.8648809523809524,0.3704918987751007,0.857875,0.0005
9,0.30809613074575154,0.8717380952380952,0.4023647639751434,0.84725,0.0005
10,0.28699830416270666,0.8795714285714286,0.3595537440776825,0.8415,0.0005
11,0.2668494585695721,0.8852142857142857,0.3843952202796936,0.8435,0.00025
12,0.20397380376997448,0.9116428571428571,0.35222090339660644,0.88,0.00025
13,0.18385117556367603,0.9205952380952381,0.34533224296569826,0.878625,0.00025
14,0.17415956600081353,0.9265238095238095,0.3380585621595383,0.887375,0.00025
15,0.16002748278209142,0.9323809523809524,0.3440780050754547,0.88375,0.00025
16,0.14572583423909688,0.9382380952380952,0.37114700317382815,0.88775,0.00025
17,0.1382104469367436,0.9396666666666667,0.3767562777996063,0.88975,0.00025
18,0.12343831589108421,0.9467142857142857,0.38916868913173674,0.892875,0.00025
19,0.12480210132825942,0.9462380952380952,0.33849568450450895,0.88575,0.00025
20,0.1125409932023003,0.9511904761904761,0.3907514407634735,0.889625,0.00025
21,0.10340844789289293,0.9548809523809524,0.38758434438705447,0.886625,0.000125
22,0.07699615027773238,0.9666666666666667,0.42606355452537537,0.897375,0.000125
23,0.06696095349958965,0.9719761904761904,0.47159735941886904,0.897625,0.000125
24,0.06098819311176028,0.9744285714285714,0.4799864363670349,0.89475,0.000125
25,0.058257386817463806,0.9757619047619047,0.4638429495096207,0.894625,0.000125
26,0.051635860983814515,0.9782142857142857,0.47843127346038816,0.896375,6.25e-05
27,0.040791397917838326,0.9827619047619047,0.5076904854774476,0.89725,6.25e-05
28,0.03659017071056934,0.9847142857142858,0.5341717762947082,0.9005,6.25e-05
29,0.036437923929875805,0.984452380952381,0.5277052567005157,0.8995,6.25e-05
30,0.03318639230444318,0.9863571428571428,0.5266135058403015,0.897625,6.25e-05
