,precision,recall,f1-score,support
living,0.8588924387646433,0.8065,0.8318720990201135,2000.0
nature,0.8968996062992126,0.91125,0.9040178571428571,4000.0
transport,0.9085158150851581,0.9335,0.9208384710234279,2000.0
urban,0.9480778831752371,0.9495,0.9487884086934799,2000.0
accuracy,0.9024,0.9024,0.9024,0.9024
macro avg,0.9030964358310627,0.9001875,0.9013792089699696,10000.0
weighted avg,0.9018570699246927,0.9024,0.9019069386045471,10000.0
