threshold,dice,iou
0.2,0.9981746673583984,0.9963700175285339
0.25,0.9984500408172607,0.9969162344932556
0.3,0.9986505508422852,0.997314453125
0.35,0.9988126754760742,0.9976359605789185
0.4,0.998911440372467,0.9978326559066772
0.45,0.9989633560180664,0.9979357123374939
0.5,0.9989824891090393,0.9979731440544128
0.55,0.9990122318267822,0.9980325698852539
0.6,0.9989956021308899,0.997999370098114
0.65,0.9989566802978516,0.9979221224784851
0.7,0.9989041090011597,0.997817873954773
0.75,0.9988042116165161,0.9976192116737366
0.8,0.9986443519592285,0.9973015785217285
