model,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,top2_accuracy,roc_auc_ovr_macro,negative_log_likelihood,brier_score,expected_calibration_error,parameters_total,parameters_trainable,state_dict_size_mb,latency_mean_ms,latency_median_ms,latency_p95_ms,training_seconds
mobilenetv2_finetuned,0.9103,0.9151250000000001,0.9039639283791323,0.9151250000000001,0.9088788040166588,0.9099660498834142,0.9874,0.9894224218750001,0.23274146020412445,0.12928233327843236,0.006608553531765908,2553348,1855556,9.986723899841309,3.118657001759857,2.7126500208396465,4.340455000055953,238.68528109998442
alexnet_style,0.9024,0.9001875,0.9030964358310627,0.9001875,0.9013792089699696,0.9019069386045471,0.9839,0.9838821197916667,0.45073768496513367,0.16553271791025864,0.06878619625270371,4011844,4011844,15.315815925598145,0.4111689986893907,0.4050999996252358,0.4720849829027429,679.0164452000172
mobilenetv2_frozen,0.8736,0.8834375000000001,0.8632830134853434,0.8834375000000001,0.8716412566974636,0.8733383251522476,0.9746,0.9802435,0.3341312110424042,0.183687810672643,0.006774910029768964,2553348,329476,9.985788345336914,2.378261001431383,2.3461499949917197,2.6165449584368616,351.2751278000069
simple_cnn,0.8635,0.8755,0.8587832784206192,0.8755,0.8659004371799129,0.8638192220229758,0.9796,0.9758183697916667,0.35062673687934875,0.19911478676420666,0.008159619313478462,315844,315844,1.2151384353637695,0.3838150011142716,0.3318499948363751,0.7402899878798053,482.9828522000462
