epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
1,0.8315785139401753,0.636,0.848051007270813,0.6805,0.001
2,0.6755511717342195,0.7099761904761904,0.6462611627578735,0.7315,0.001
3,0.6158608795574734,0.7370952380952381,0.9334206476211547,0.622125,0.001
4,0.5788964391890026,0.7495714285714286,0.6334672956466675,0.731125,0.001
5,0.5507433712595985,0.763,0.6394020323753357,0.76125,0.001
6,0.532269512744177,0.7742619047619047,0.5009899306297302,0.776375,0.001
7,0.5167258460862296,0.7810476190476191,0.4838269920349121,0.809875,0.001
8,0.4985083005768912,0.7861190476190476,0.7600061469078064,0.67625,0.001
9,0.4855882066317967,0.7932857142857143,0.4574720523357391,0.797,0.001
10,0.46701327132043385,0.8016666666666666,0.4671660840511322,0.823875,0.001
11,0.4649347340379443,0.8051666666666667,0.4449913079738617,0.8265,0.001
12,0.4527596044653938,0.8082857142857143,0.7066455063819885,0.67325,0.001
13,0.43918362919489545,0.8138333333333333,0.45277905917167666,0.80075,0.001
14,0.4324137453124637,0.816595238095238,0.41784016919136047,0.8475,0.001
15,0.42196736695652914,0.821047619047619,0.39394741201400757,0.827,0.001
16,0.4160315207072667,0.8236666666666667,0.4262539670467377,0.815375,0.001
17,0.40705209327879405,0.8283809523809523,0.4065015087127686,0.848375,0.001
18,0.40210450777553375,0.8305714285714285,0.42943295001983645,0.817875,0.001
19,0.3900382692416509,0.8347619047619048,0.41858261108398437,0.833375,0.001
20,0.3881451307478405,0.8331904761904761,0.5179290413856507,0.806,0.0005
21,0.3510436553387415,0.8525714285714285,0.3368996706008911,0.863,0.0005
22,0.3471136198497954,0.8536190476190476,0.3819281108379364,0.829375,0.0005
