,precision,recall,f1-score,support
living,0.7485406376290974,0.8335,0.7887390584338775,2000.0
nature,0.8996138996138996,0.8155,0.8554943613952268,4000.0
transport,0.8693540553666829,0.895,0.8819906380881991,2000.0
urban,0.9176245210727969,0.958,0.9373776908023483,2000.0
accuracy,0.8635,0.8635,0.8635,0.8635
macro avg,0.8587832784206192,0.8755,0.8659004371799129,10000.0
weighted avg,0.8669494026592752,0.8635,0.8638192220229758,10000.0
