class,precision,recall,f1_score,support
cat,0.875890,0.861000,0.868381,1000
dog,0.863324,0.878000,0.870600,1000
macro_avg,0.869607,0.869500,0.869491,2000
weighted_avg,0.869607,0.869500,0.869491,2000
